"filename", "language", "XML", "JavaScript JSX", "SCSS", "CSS", "JavaScript", "comment", "blank", "total"
"c:\Users\Kerlos\Desktop\quiz\app\TrueFocus.scss", "SCSS", 0, 0, 61, 0, 0, 1, 8, 70
"c:\Users\Kerlos\Desktop\quiz\app\ans\page.jsx", "JavaScript JSX", 0, 101, 0, 0, 0, 3, 13, 117
"c:\Users\Kerlos\Desktop\quiz\app\api\GlobalApi.js", "JavaScript", 0, 0, 0, 0, 339, 4, 75, 418
"c:\Users\Kerlos\Desktop\quiz\app\arabic\[quizid]\page.jsx", "JavaScript JSX", 0, 12, 0, 0, 0, 0, 8, 20
"c:\Users\Kerlos\Desktop\quiz\app\arabic\page.jsx", "JavaScript JSX", 0, 15, 0, 0, 0, 0, 13, 28
"c:\Users\Kerlos\Desktop\quiz\app\bio\[quizid]\page.jsx", "JavaScript JSX", 0, 11, 0, 0, 0, 0, 8, 19
"c:\Users\Kerlos\Desktop\quiz\app\bio\page.jsx", "JavaScript JSX", 0, 15, 0, 0, 0, 0, 14, 29
"c:\Users\Kerlos\Desktop\quiz\app\chem\[quizid]\page.jsx", "JavaScript JSX", 0, 10, 0, 0, 0, 0, 8, 18
"c:\Users\Kerlos\Desktop\quiz\app\chem\page.jsx", "JavaScript JSX", 0, 15, 0, 0, 0, 0, 16, 31
"c:\Users\Kerlos\Desktop\quiz\app\components\ActiveSqu.jsx", "JavaScript JSX", 0, 59, 0, 0, 0, 1, 7, 67
"c:\Users\Kerlos\Desktop\quiz\app\components\Arabic.jsx", "JavaScript JSX", 0, 113, 0, 0, 0, 7, 30, 150
"c:\Users\Kerlos\Desktop\quiz\app\components\Bio.jsx", "JavaScript JSX", 0, 117, 0, 0, 0, 7, 41, 165
"c:\Users\Kerlos\Desktop\quiz\app\components\Chem.jsx", "JavaScript JSX", 0, 115, 0, 0, 0, 7, 33, 155
"c:\Users\Kerlos\Desktop\quiz\app\components\English.jsx", "JavaScript JSX", 0, 128, 0, 0, 0, 7, 39, 174
"c:\Users\Kerlos\Desktop\quiz\app\components\Footer.jsx", "JavaScript JSX", 0, 25, 0, 0, 0, 0, 13, 38
"c:\Users\Kerlos\Desktop\quiz\app\components\French.jsx", "JavaScript JSX", 0, 139, 0, 0, 0, 10, 32, 181
"c:\Users\Kerlos\Desktop\quiz\app\components\Geo.jsx", "JavaScript JSX", 0, 109, 0, 0, 0, 7, 32, 148
"c:\Users\Kerlos\Desktop\quiz\app\components\GreatToday.jsx", "JavaScript JSX", 0, 78, 0, 0, 0, 4, 12, 94
"c:\Users\Kerlos\Desktop\quiz\app\components\GreenButton.jsx", "JavaScript JSX", 0, 41, 0, 0, 0, 0, 3, 44
"c:\Users\Kerlos\Desktop\quiz\app\components\Header.jsx", "JavaScript JSX", 0, 78, 0, 0, 0, 9, 11, 98
"c:\Users\Kerlos\Desktop\quiz\app\components\Hero.jsx", "JavaScript JSX", 0, 168, 0, 0, 0, 9, 38, 215
"c:\Users\Kerlos\Desktop\quiz\app\components\Physics.jsx", "JavaScript JSX", 0, 122, 0, 0, 0, 7, 35, 164
"c:\Users\Kerlos\Desktop\quiz\app\components\ProgCircle.jsx", "JavaScript JSX", 0, 33, 0, 0, 0, 0, 14, 47
"c:\Users\Kerlos\Desktop\quiz\app\components\QuizAr.jsx", "JavaScript JSX", 0, 463, 0, 0, 0, 12, 106, 581
"c:\Users\Kerlos\Desktop\quiz\app\components\QuizBio.jsx", "JavaScript JSX", 0, 463, 0, 0, 0, 12, 106, 581
"c:\Users\Kerlos\Desktop\quiz\app\components\QuizCh.jsx", "JavaScript JSX", 0, 463, 0, 0, 0, 13, 106, 582
"c:\Users\Kerlos\Desktop\quiz\app\components\QuizData.jsx", "JavaScript JSX", 0, 234, 0, 0, 0, 13, 69, 316
"c:\Users\Kerlos\Desktop\quiz\app\components\QuizEn.jsx", "JavaScript JSX", 0, 475, 0, 0, 0, 12, 106, 593
"c:\Users\Kerlos\Desktop\quiz\app\components\QuizFr.jsx", "JavaScript JSX", 0, 484, 0, 0, 0, 12, 106, 602
"c:\Users\Kerlos\Desktop\quiz\app\components\QuizGeo.jsx", "JavaScript JSX", 0, 463, 0, 0, 0, 12, 109, 584
"c:\Users\Kerlos\Desktop\quiz\app\components\QuizPh.jsx", "JavaScript JSX", 0, 463, 0, 0, 0, 12, 107, 582
"c:\Users\Kerlos\Desktop\quiz\app\components\QuizV.jsx", "JavaScript JSX", 0, 171, 0, 0, 0, 4, 38, 213
"c:\Users\Kerlos\Desktop\quiz\app\components\RedButton.jsx", "JavaScript JSX", 0, 41, 0, 0, 0, 0, 2, 43
"c:\Users\Kerlos\Desktop\quiz\app\components\Subjects.jsx", "JavaScript JSX", 0, 140, 0, 0, 0, 8, 31, 179
"c:\Users\Kerlos\Desktop\quiz\app\components\Subs.jsx", "JavaScript JSX", 0, 13, 0, 0, 0, 0, 7, 20
"c:\Users\Kerlos\Desktop\quiz\app\components\TrueFocus.jsx", "JavaScript JSX", 0, 130, 0, 0, 0, 0, 11, 141
"c:\Users\Kerlos\Desktop\quiz\app\components\YellowButton.jsx", "JavaScript JSX", 0, 31, 0, 0, 0, 0, 4, 35
"c:\Users\Kerlos\Desktop\quiz\app\context\PremiumUserContext.jsx", "JavaScript JSX", 0, 37, 0, 0, 0, 0, 7, 44
"c:\Users\Kerlos\Desktop\quiz\app\cop\page.jsx", "JavaScript JSX", 0, 70, 0, 0, 0, 0, 10, 80
"c:\Users\Kerlos\Desktop\quiz\app\english\[quizid]\page.jsx", "JavaScript JSX", 0, 12, 0, 0, 0, 0, 8, 20
"c:\Users\Kerlos\Desktop\quiz\app\english\page.jsx", "JavaScript JSX", 0, 17, 0, 0, 0, 0, 11, 28
"c:\Users\Kerlos\Desktop\quiz\app\french\[quizid]\page.jsx", "JavaScript JSX", 0, 10, 0, 0, 0, 0, 7, 17
"c:\Users\Kerlos\Desktop\quiz\app\french\page.jsx", "JavaScript JSX", 0, 14, 0, 0, 0, 0, 11, 25
"c:\Users\Kerlos\Desktop\quiz\app\geo\[quizid]\page.jsx", "JavaScript JSX", 0, 10, 0, 0, 0, 0, 7, 17
"c:\Users\Kerlos\Desktop\quiz\app\geo\page.jsx", "JavaScript JSX", 0, 15, 0, 0, 0, 0, 12, 27
"c:\Users\Kerlos\Desktop\quiz\app\globals.css", "CSS", 0, 0, 0, 6, 0, 0, 2, 8
"c:\Users\Kerlos\Desktop\quiz\app\layout.jsx", "JavaScript JSX", 0, 52, 0, 0, 0, 2, 17, 71
"c:\Users\Kerlos\Desktop\quiz\app\page.jsx", "JavaScript JSX", 0, 10, 0, 0, 0, 0, 11, 21
"c:\Users\Kerlos\Desktop\quiz\app\payment\page.jsx", "JavaScript JSX", 0, 161, 0, 0, 0, 0, 35, 196
"c:\Users\Kerlos\Desktop\quiz\app\phys\[quizid]\page.jsx", "JavaScript JSX", 0, 9, 0, 0, 0, 0, 7, 16
"c:\Users\Kerlos\Desktop\quiz\app\phys\page.jsx", "JavaScript JSX", 0, 16, 0, 0, 0, 0, 10, 26
"c:\Users\Kerlos\Desktop\quiz\app\proc\page.jsx", "JavaScript JSX", 0, 92, 0, 0, 0, 3, 12, 107
"c:\Users\Kerlos\Desktop\quiz\app\profr\page.jsx", "JavaScript JSX", 0, 146, 0, 0, 0, 5, 20, 171
"c:\Users\Kerlos\Desktop\quiz\app\quiz\page.jsx", "JavaScript JSX", 0, 8, 0, 0, 0, 0, 5, 13
"c:\Users\Kerlos\Desktop\quiz\app\sign-in\[[...sign-in]]\page.jsx", "JavaScript JSX", 0, 80, 0, 0, 0, 0, 15, 95
"c:\Users\Kerlos\Desktop\quiz\app\sign-up\[[...sign-up]]\page.jsx", "JavaScript JSX", 0, 82, 0, 0, 0, 0, 20, 102
"c:\Users\Kerlos\Desktop\quiz\app\sitemap.xml", "XML", 50, 0, 0, 0, 0, 0, 1, 51
"c:\Users\Kerlos\Desktop\quiz\app\subscriptions\page.jsx", "JavaScript JSX", 0, 10, 0, 0, 0, 0, 6, 16
"d:\quiz\app\api\GlobalApi.js", "JavaScript", 0, 0, 0, 0, -340, 0, -84, -424
"d:\quiz\app\arabic\[quizid]\page.jsx", "JavaScript JSX", 0, -12, 0, 0, 0, 0, -8, -20
"d:\quiz\app\arabic\page.jsx", "JavaScript JSX", 0, -14, 0, 0, 0, 0, -12, -26
"d:\quiz\app\bio\[quizid]\page.jsx", "JavaScript JSX", 0, -11, 0, 0, 0, 0, -8, -19
"d:\quiz\app\bio\page.jsx", "JavaScript JSX", 0, -14, 0, 0, 0, 0, -12, -26
"d:\quiz\app\chem\[quizid]\page.jsx", "JavaScript JSX", 0, -10, 0, 0, 0, 0, -8, -18
"d:\quiz\app\chem\page.jsx", "JavaScript JSX", 0, -14, 0, 0, 0, 0, -16, -30
"d:\quiz\app\components\ActiveSqu.jsx", "JavaScript JSX", 0, -85, 0, 0, 0, -6, -13, -104
"d:\quiz\app\components\Arabic.jsx", "JavaScript JSX", 0, -252, 0, 0, 0, -10, -35, -297
"d:\quiz\app\components\Bio.jsx", "JavaScript JSX", 0, -182, 0, 0, 0, -10, -33, -225
"d:\quiz\app\components\Chem.jsx", "JavaScript JSX", 0, -217, 0, 0, 0, -10, -33, -260
"d:\quiz\app\components\English.jsx", "JavaScript JSX", 0, -217, 0, 0, 0, -10, -33, -260
"d:\quiz\app\components\Footer.jsx", "JavaScript JSX", 0, -25, 0, 0, 0, 0, -13, -38
"d:\quiz\app\components\French.jsx", "JavaScript JSX", 0, -156, 0, 0, 0, -10, -32, -198
"d:\quiz\app\components\Geo.jsx", "JavaScript JSX", 0, -182, 0, 0, 0, -10, -32, -224
"d:\quiz\app\components\GreatToday.jsx", "JavaScript JSX", 0, -64, 0, 0, 0, -2, -17, -83
"d:\quiz\app\components\Header.jsx", "JavaScript JSX", 0, -78, 0, 0, 0, -9, -11, -98
"d:\quiz\app\components\Hero.jsx", "JavaScript JSX", 0, -145, 0, 0, 0, -9, -31, -185
"d:\quiz\app\components\Physics.jsx", "JavaScript JSX", 0, -184, 0, 0, 0, -10, -30, -224
"d:\quiz\app\components\ProgCircle.jsx", "JavaScript JSX", 0, -33, 0, 0, 0, 0, -14, -47
"d:\quiz\app\components\QuizAr.jsx", "JavaScript JSX", 0, -412, 0, 0, 0, -10, -90, -512
"d:\quiz\app\components\QuizBio.jsx", "JavaScript JSX", 0, -412, 0, 0, 0, -10, -95, -517
"d:\quiz\app\components\QuizCh.jsx", "JavaScript JSX", 0, -412, 0, 0, 0, -10, -91, -513
"d:\quiz\app\components\QuizData.jsx", "JavaScript JSX", 0, -239, 0, 0, 0, -13, -66, -318
"d:\quiz\app\components\QuizEn.jsx", "JavaScript JSX", 0, -412, 0, 0, 0, -10, -91, -513
"d:\quiz\app\components\QuizFr.jsx", "JavaScript JSX", 0, -412, 0, 0, 0, -10, -91, -513
"d:\quiz\app\components\QuizGeo.jsx", "JavaScript JSX", 0, -412, 0, 0, 0, -10, -92, -514
"d:\quiz\app\components\QuizPh.jsx", "JavaScript JSX", 0, -412, 0, 0, 0, -10, -91, -513
"d:\quiz\app\components\QuizV.jsx", "JavaScript JSX", 0, -149, 0, 0, 0, -2, -30, -181
"d:\quiz\app\components\Subjects.jsx", "JavaScript JSX", 0, -101, 0, 0, 0, -5, -12, -118
"d:\quiz\app\components\Subs.jsx", "JavaScript JSX", 0, -20, 0, 0, 0, 0, -7, -27
"d:\quiz\app\components\ThemeToggle.jsx", "JavaScript JSX", 0, -33, 0, 0, 0, -2, -12, -47
"d:\quiz\app\english\[quizid]\page.jsx", "JavaScript JSX", 0, -12, 0, 0, 0, 0, -8, -20
"d:\quiz\app\english\page.jsx", "JavaScript JSX", 0, -14, 0, 0, 0, 0, -12, -26
"d:\quiz\app\french\[quizid]\page.jsx", "JavaScript JSX", 0, -10, 0, 0, 0, 0, -7, -17
"d:\quiz\app\french\page.jsx", "JavaScript JSX", 0, -14, 0, 0, 0, 0, -11, -25
"d:\quiz\app\geo\[quizid]\page.jsx", "JavaScript JSX", 0, -10, 0, 0, 0, 0, -7, -17
"d:\quiz\app\geo\page.jsx", "JavaScript JSX", 0, -14, 0, 0, 0, 0, -10, -24
"d:\quiz\app\globals.css", "CSS", 0, 0, 0, -6, 0, 0, -2, -8
"d:\quiz\app\layout.jsx", "JavaScript JSX", 0, -50, 0, 0, 0, -2, -17, -69
"d:\quiz\app\page.jsx", "JavaScript JSX", 0, -13, 0, 0, 0, 0, -8, -21
"d:\quiz\app\payment\page.jsx", "JavaScript JSX", 0, -131, 0, 0, 0, 0, -28, -159
"d:\quiz\app\phys\[quizid]\page.jsx", "JavaScript JSX", 0, -9, 0, 0, 0, 0, -7, -16
"d:\quiz\app\phys\page.jsx", "JavaScript JSX", 0, -15, 0, 0, 0, 0, -10, -25
"d:\quiz\app\quiz\page.jsx", "JavaScript JSX", 0, -8, 0, 0, 0, 0, -5, -13
"d:\quiz\app\sign-in\[[...sign-in]]\page.jsx", "JavaScript JSX", 0, -80, 0, 0, 0, 0, -15, -95
"d:\quiz\app\sign-up\[[...sign-up]]\page.jsx", "JavaScript JSX", 0, -82, 0, 0, 0, 0, -20, -102
"d:\quiz\app\sitemap.xml", "XML", -50, 0, 0, 0, 0, 0, -1, -51
"d:\quiz\app\subscriptions\page.jsx", "JavaScript JSX", 0, -10, 0, 0, 0, 0, -6, -16
"d:\quiz\app\test\page.jsx", "JavaScript JSX", 0, -18, 0, 0, 0, 0, -7, -25
"Total", "-", 0, 578, 61, 0, -1, 13, 221, 872